Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting,2.7041575491654717,5.70551066892423,3.229170852454001,0.9971111301349129
LSTM,3.243193561529657,6.809736953587134,3.8728609289018916,0.9958847179335704
LSTM_with_window,3.2553983399215016,7.007370028801315,3.8874352700514176,0.9956423831898947
Boosting_with_window,3.3044684312262835,7.0388349160462385,3.9460323398181405,0.9956031616974218
MLP,3.816148938221536,8.461618496701032,4.557055828249084,0.9936460203964774
MLP_with_window,3.881270405957653,10.443786738140105,4.634820655800417,0.9903204554071585
Polynomial (d=2),3.9999921780730423,11.561579847383399,4.776592308929509,0.9881375798851263
Linear,4.06292664744963,8.174691220638682,4.851745531487955,0.9940696319216302
RandomForest_with_window,4.139509984652284,8.232391925826468,4.943197555189307,0.9939856179656492
RandomForest,4.267237475341429,8.112637585396286,5.095723390866951,0.9941593244006051
