Model Name,MAE,RMSE,MAPE (%),R2 Score
LSTM_with_window,12.979380543680366,21.552175493536854,3.0851437749840915e+17,0.9781985532815093
MLP_with_window,13.216837653640965,22.141259676792178,2.825595017619154e+17,0.9769904706605186
simple_MLP_with_window,13.385271554628336,22.418505124724703,4.646807206913209e+17,0.9764106276874563
LSTM,14.92186680986886,24.986550747516382,3.709906605297059e+17,0.9706967560184826
RandomForest,16.139916933916865,24.85883968989032,6.09386304186589e+17,0.970995539503104
MLP,16.54246263365965,26.414323848297716,2.9046024654694906e+17,0.9672522036754786
Boosting,17.0951146175447,31.167512924641397,1.895849677275589e+18,0.954406032969473
Polynomial (d=2),18.344148887041012,27.23160892754333,9.46140073907524e+17,0.965194354904837
simple_MLP,20.046855706428016,28.67127647917779,1.6504875349386693e+18,0.9614168979418888
Boosting_with_window,20.64218187137397,30.13952374527139,2.2343185758559808e+18,0.9573640587331846
Linear,22.29805154360364,30.427190248992414,2.386470266763638e+18,0.9565462977395498
