Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_with_window,18.702769509274546,28.78989709204649,3.3995689453701248,0.978318632999816
simple_MLP_with_window,22.324772212810576,31.87592950098065,4.0579338952713515,0.9734213969500892
MLP,23.107277211918863,34.86565864595859,4.200168428678088,0.9682018258533968
simple_MLP,23.716637835462425,34.10638336220378,4.310930818777736,0.9695716940485295
MLP_with_window,24.61958523619725,35.94005242829769,4.475057951998224,0.9662118939690546
LSTM,25.997130126788225,36.59507296242566,4.7254518216646435,0.9649690697244611
Linear,26.935938033256743,36.9123496378648,4.896097254840498,0.9643590051916854
Boosting_with_window,27.49909470970929,40.30729801290979,4.998461236158695,0.957501479774164
Boosting,29.389643637156137,40.74760740703857,5.342102931591234,0.9565679166461847
Polynomial (d=2),32.80780143103835,42.50321608106734,5.96341535704215,0.9527447547265728
RandomForest,40.43276022898386,54.98799398221182,7.349390472993185,0.9209062460194714
