iter	Passed	Remaining
0	0	1692
1	1	1383
2	1	1256
3	2	1192
4	2	1153
5	3	1125
6	3	1104
7	4	1089
8	4	1076
9	5	1065
10	5	1055
11	6	1047
12	6	1043
13	7	1036
14	7	1030
15	8	1024
16	8	1018
17	9	1014
18	9	1010
19	10	1006
20	10	1003
21	11	1000
22	11	998
23	12	996
24	12	997
25	13	999
26	13	997
27	14	994
28	14	991
29	15	989
30	15	986
31	15	982
32	16	980
33	16	977
34	17	975
35	17	972
36	18	970
37	18	968
38	19	967
39	19	965
40	20	964
41	20	963
42	21	961
43	21	958
44	22	956
45	22	954
46	22	952
47	23	951
48	23	949
49	24	948
50	24	947
51	25	945
52	25	944
53	26	945
54	26	943
55	27	942
56	27	944
57	28	943
58	28	945
59	29	945
60	29	944
61	30	943
62	30	942
63	31	941
64	31	940
65	32	939
66	32	939
67	33	938
68	33	937
69	33	936
70	34	935
71	34	934
72	35	933
73	35	932
74	36	931
75	36	931
76	37	931
77	37	931
78	38	930
79	38	931
80	39	930
81	39	929
82	40	928
83	40	928
84	41	927
85	41	926
86	42	925
87	42	927
88	43	926
89	43	926
90	44	925
91	44	925
92	45	925
93	45	925
94	46	925
95	46	924
96	47	923
97	47	924
98	48	924
99	48	923
100	49	922
101	49	921
102	49	920
103	50	920
104	50	919
105	51	918
106	51	919
107	52	918
108	52	917
109	53	916
110	53	916
111	54	915
112	54	915
113	55	914
114	55	913
115	56	913
116	56	912
117	57	911
118	57	911
119	58	911
120	58	910
121	59	909
122	59	908
123	59	907
124	60	906
125	60	905
126	61	905
127	61	904
128	62	903
129	62	903
130	63	902
131	63	901
132	64	901
133	64	900
134	65	900
135	65	899
136	66	899
137	66	898
138	67	897
139	67	896
140	67	896
141	68	895
142	68	894
143	69	893
144	69	893
145	70	892
146	70	891
147	71	891
148	71	890
149	72	890
150	72	890
151	73	889
152	73	889
153	74	888
154	74	887
155	75	887
156	75	887
157	76	886
158	76	885
159	76	885
160	77	884
161	77	883
162	78	883
163	78	882
164	79	881
165	79	880
166	80	880
167	80	879
168	81	878
169	81	878
170	82	877
171	82	876
172	82	875
173	83	875
174	83	874
175	84	873
176	84	873
177	85	872
178	85	871
179	86	871
180	86	870
181	87	870
182	87	869
183	88	869
184	88	868
185	88	867
186	89	867
187	89	866
188	90	865
189	90	865
190	91	864
191	91	864
192	92	863
193	92	863
194	93	862
195	93	861
196	94	861
197	94	860
198	95	860
199	95	859
200	95	858
201	96	858
202	96	858
203	97	857
204	97	856
205	98	856
206	98	855
207	99	855
208	99	854
209	100	854
210	100	853
211	101	852
212	101	852
213	102	851
214	102	851
215	103	850
216	103	850
217	103	849
218	104	848
219	104	848
220	105	847
221	105	847
222	106	846
223	106	846
224	107	845
225	107	844
226	108	844
227	108	843
228	109	843
229	109	842
230	110	842
231	110	842
232	110	841
233	111	841
234	111	840
235	112	840
236	112	840
237	113	839
238	113	839
239	114	838
240	114	838
241	115	837
242	115	837
243	116	836
244	116	836
245	117	835
246	117	835
247	118	834
248	118	833
249	119	833
250	119	832
251	120	832
252	120	831
253	120	831
254	121	830
255	121	830
256	122	829
257	122	829
258	123	828
259	123	827
260	124	827
261	124	826
262	125	826
263	125	825
264	126	825
265	126	824
266	126	824
267	127	823
268	127	822
269	128	822
270	128	821
271	129	821
272	129	820
273	130	820
274	130	819
275	131	819
276	131	818
277	132	818
278	132	817
