Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,6.275656324252961,11.880386507744147,5.535071667560866,0.9876114871943248
LSTM_mae_with_window,6.3215590062357085,11.841570481620622,5.5755574146094835,0.9876923073383276
Boosting_custom_with_window,6.439132921605831,12.524992863213557,5.679256536133132,0.9862306636601306
Boosting,6.5552874265944245,11.499408669588714,5.781703750639968,0.9883932922049546
LSTM_mae,6.7993869530265725,12.45854799910509,5.996997307681659,0.9863763683201436
MLP,6.834222174966412,12.894333072538796,6.027721655866126,0.985406622973841
LSTM_custom,7.2284039831465225,13.499134695371254,6.3753864172224395,0.98400552844597
RandomForest,7.590642551187748,12.868290098040077,6.694877531978707,0.9854655125869518
RandomForest_custom_with_window,7.6306628585856275,12.812901694677567,6.730175078268649,0.9855903635954697
RandomForest_mae_with_window,7.6406042922464295,12.81411265433101,6.738943332128916,0.9855876397295873
Linear,12.947215636345911,32.70263629703245,11.419326161247358,0.906130703503906
Polynomial (d=2),17.32714018579759,45.675180491032464,15.282379685391723,0.8168872526354545
