Model Name,MAE,RMSE,WAPE (%),R2 Score
RandomForest_custom_with_window,17.007501038570066,25.59262502053387,3.4959916953211074,0.9821234497984435
RandomForest_mae_with_window,17.04104162924811,25.595125445791947,3.5028861606632336,0.9821199565138599
LSTM_custom_with_window,17.09257424798965,25.82608546339586,3.5134789930111494,0.9817958161245746
LSTM_mae_with_window,17.17961489615702,25.639929332127675,3.531370709287303,0.9820573042255911
Boosting_custom_with_window,18.25802056894386,26.085246908710392,3.7530433270163885,0.9814286297012115
LSTM_custom,20.72509922852371,30.865037725327944,4.260165830553818,0.9739991425605269
LSTM_mae,20.918859502265196,30.648891617889568,4.299994392454075,0.974362032504839
Linear,22.248323875859175,31.137898636487126,4.5732736001853835,0.9735373917904977
MLP,22.853635358201256,33.05997806328821,4.6976989293710965,0.9701695937464931
Boosting,25.901779404498985,36.480396616000085,5.324262834781581,0.9636777161066085
RandomForest,27.11236807092571,37.49862449684968,5.573106442944813,0.961621789481403
Polynomial (d=2),33.793442761234346,43.82696724941128,6.946440572407421,0.9475751876811582
