Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,26.851881239808293,36.55230579171428,9.625668877363163,0.9128530412589395
LSTM_mae_with_window,33.46790130927961,42.635531105074584,11.997332073173379,0.8814323987649586
Boosting_custom_with_window,35.72157523670324,53.85957395599433,12.805212861457447,0.8107880739957295
RandomForest_mae_with_window,42.62932463908877,65.54629231532833,15.281453086168087,0.71976721688858
RandomForest_custom_with_window,42.62932463908877,65.54629231532833,15.281453086168087,0.71976721688858
Boosting,66.59262644971554,107.19841564489612,23.871644826456645,0.2504520643085254
Linear,67.92721716501576,98.06715191166613,24.350059288279837,0.3727079200528953
RandomForest,67.97236987384152,97.10396246000535,24.366245305944343,0.38496959894472826
Polynomial (d=2),69.11059500520619,98.17125122423205,24.774268048357147,0.3713754589442977
LSTM_mae,91.72750277231275,106.55263383088877,32.881814154783505,0.2594556757702132
LSTM_custom,95.92189432208525,113.99150011173919,34.38538941044438,0.15244553338454536
MLP,121.1965801187234,141.15373521961712,43.44567663148117,-0.2995931961416163
