Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting,2.7718433521638604,6.707053758105145,3.309997882016237,0.996007889907045
MLP,3.0312066825332153,7.229394677215589,3.6197167099309002,0.9953618711971287
Boosting_custom_with_window,3.2844128791310054,7.0764692588949645,3.922082994013222,0.9955560190993358
LSTM_custom,3.4817291667962533,9.295875426040793,4.157708320296331,0.9923313392577314
Linear,3.6171984974368163,7.7684590197926315,4.319479077344478,0.9946443930906052
LSTM_custom_with_window,3.927002376872263,9.2895857819722,4.6894315077266695,0.9923417130691103
Polynomial (d=2),3.944128914374826,8.044524397450143,4.709883169547855,0.9942569885611086
LSTM_mae,4.196257365511518,8.529134748005944,5.0109624634433745,0.9935442175576435
LSTM_mae_with_window,4.2958505188903295,8.554035245675049,5.129891668620081,0.9935064676907464
RandomForest_mae_with_window,4.346212316138954,8.275312218168398,5.190031229572305,0.9939227414766109
RandomForest_custom_with_window,4.346212316138954,8.275312218168398,5.190031229572305,0.9939227414766109
RandomForest,5.3067845094741966,9.721658686948663,6.337098910356376,0.9916127483419208
