Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_custom_with_window,17.09185616160119,25.832745622063186,3.513331386137871,0.9817864257439433
LSTM_mae_with_window,17.174180643472738,25.669246525854824,3.530253666741697,0.9820162487127339
RandomForest_custom_with_window,17.258428745434887,25.48127904694632,3.547571358749376,0.9822786626290751
RandomForest_mae_with_window,17.51282973635748,25.53869409686529,3.599864976108557,0.9821987123437005
Boosting_custom_with_window,18.963197871469326,26.584151060821743,3.897996661887109,0.9807114474742687
LSTM_custom,19.87405559949555,30.459546325646475,4.085228815839483,0.9746778307699571
LSTM_mae,20.935043358261964,30.64878096347945,4.303321079075154,0.974362217630558
Linear,22.202198131693976,31.074365951256148,4.563792182652241,0.9736452683948246
MLP,22.926357054911424,33.137468951429994,4.712647301103772,0.970029587979546
RandomForest,26.0523139682254,36.20573095166906,5.355206098195344,0.9642226075020988
Boosting,28.80792334009108,39.98548330466298,5.9216377837054095,0.9563626121927399
Polynomial (d=2),33.79353387231821,43.827090758341896,6.946459300825652,0.9475748922036458
