iter	Passed	Remaining
0	0	476
1	1	426
2	2	406
3	3	395
4	3	383
5	4	376
6	5	374
7	5	367
8	6	363
9	7	359
10	7	354
11	8	351
12	9	350
13	10	348
14	10	346
15	11	344
16	12	342
17	12	340
18	13	339
19	14	337
20	14	336
21	15	335
22	16	334
23	16	332
24	17	331
25	18	329
26	18	330
27	19	330
28	20	329
29	20	328
30	21	327
31	22	326
32	23	325
33	23	324
34	24	323
35	25	322
36	25	321
37	26	322
38	27	321
39	27	320
40	28	319
41	29	318
42	29	318
43	30	317
44	31	317
45	32	319
46	33	326
47	35	334
48	37	344
49	38	347
50	39	348
51	40	348
52	41	349
53	42	350
54	43	350
55	44	349
56	44	348
57	45	347
58	46	347
59	47	346
60	47	345
61	48	345
62	49	344
63	50	343
64	51	342
65	51	341
66	52	340
67	53	339
68	54	339
69	55	338
70	55	337
71	57	344
72	59	348
73	61	353
74	62	354
75	63	354
76	64	354
77	65	354
78	66	353
79	67	354
80	68	354
81	69	355
82	70	355
83	71	356
84	72	355
